name,t,h,b,d,r_inside,r_hole_stiffener_inside,h_hole,d_hole
800S200-33,0.0346,8,2,0.625,0.0519,0.09,5.5,0.315
800S200-43,0.0451,8,2,0.625,0.06765,0.09,5.5,0.36
800S200-54,0.0566,8,2,0.625,0.0849,0.09,5.5,0.368
800S200-68,0.0713,8,2,0.625,0.10695,0.09,5.5,0.315
800S200-97,0.1017,8,2,0.625,0.15255,0.11,5.5,0.315
800S200-118,0.1242,8,2,0.625,0.1863,0.11,5.5,0.434
800S250-33,0.0346,8,2.5,0.625,0.0519,0.09,5.5,0.315
800S250-43,0.0451,8,2.5,0.625,0.06765,0.09,5.5,0.36
800S250-54,0.0566,8,2.5,0.625,0.0849,0.09,5.5,0.368
800S250-68,0.0713,8,2.5,0.625,0.10695,0.09,5.5,0.315
800S250-97,0.1017,8,2.5,0.625,0.15255,0.11,5.5,0.315
800S250-118,0.1242,8,2.5,0.625,0.1863,0.11,5.5,0.434
800S300-33,0.0346,8,3,0.625,0.0519,0.09,5.5,0.315
800S300-43,0.0451,8,3,0.625,0.06765,0.09,5.5,0.36
800S300-54,0.0566,8,3,0.625,0.0849,0.09,5.5,0.368
800S300-68,0.0713,8,3,0.625,0.10695,0.09,5.5,0.315
800S300-97,0.1017,8,3,0.625,0.15255,0.11,5.5,0.315
800S300-118,0.1242,8,3,0.625,0.1863,0.11,5.5,0.434
800S350-33,0.0346,8,3.5,0.625,0.0519,0.09,5.5,0.315
800S350-43,0.0451,8,3.5,0.625,0.06765,0.09,5.5,0.36
800S350-54,0.0566,8,3.5,0.625,0.0849,0.09,5.5,0.368
800S350-68,0.0713,8,3.5,0.625,0.10695,0.09,5.5,0.315
800S350-97,0.1017,8,3.5,0.625,0.15255,0.11,5.5,0.315
800S350-118,0.1242,8,3.5,0.625,0.1863,0.11,5.5,0.434
1000S200-33,0.0346,10,2,0.625,0.0519,0.09,7,0.315
1000S200-43,0.0451,10,2,0.625,0.06765,0.09,7,0.36
1000S200-54,0.0566,10,2,0.625,0.0849,0.09,7,0.368
1000S200-68,0.0713,10,2,0.625,0.10695,0.09,7,0.315
1000S200-97,0.1017,10,2,0.625,0.15255,0.11,7,0.315
1000S200-118,0.1242,10,2,0.625,0.1863,0.11,7,0.434
1000S250-33,0.0346,10,2.5,0.625,0.0519,0.09,7,0.315
1000S250-43,0.0451,10,2.5,0.625,0.06765,0.09,7,0.36
1000S250-54,0.0566,10,2.5,0.625,0.0849,0.09,7,0.368
1000S250-68,0.0713,10,2.5,0.625,0.10695,0.09,7,0.315
1000S250-97,0.1017,10,2.5,0.625,0.15255,0.11,7,0.315
1000S250-118,0.1242,10,2.5,0.625,0.1863,0.11,7,0.434
1000S300-33,0.0346,10,3,0.625,0.0519,0.09,7,0.315
1000S300-43,0.0451,10,3,0.625,0.06765,0.09,7,0.36
1000S300-54,0.0566,10,3,0.625,0.0849,0.09,7,0.368
1000S300-68,0.0713,10,3,0.625,0.10695,0.09,7,0.315
1000S300-97,0.1017,10,3,0.625,0.15255,0.11,7,0.315
1000S300-118,0.1242,10,3,0.625,0.1863,0.11,7,0.434
1000S350-33,0.0346,10,3.5,0.625,0.0519,0.09,7,0.315
1000S350-43,0.0451,10,3.5,0.625,0.06765,0.09,7,0.36
1000S350-54,0.0566,10,3.5,0.625,0.0849,0.09,7,0.368
1000S350-68,0.0713,10,3.5,0.625,0.10695,0.09,7,0.315
1000S350-97,0.1017,10,3.5,0.625,0.15255,0.11,7,0.315
1000S350-118,0.1242,10,3.5,0.625,0.1863,0.11,7,0.434
1200S200-33,0.0346,12,2,0.625,0.0519,0.09,7,0.315
1200S200-43,0.0451,12,2,0.625,0.06765,0.09,8.25,0.36
1200S200-54,0.0566,12,2,0.625,0.0849,0.09,8.25,0.368
1200S200-68,0.0713,12,2,0.625,0.10695,0.09,8.25,0.315
1200S200-97,0.1017,12,2,0.625,0.15255,0.11,8.25,0.315
1200S200-118,0.1242,12,2,0.625,0.1863,0.11,8.25,0.434
1200S250-33,0.0346,12,2.5,0.625,0.0519,0.09,8.25,0.315
1200S250-43,0.0451,12,2.5,0.625,0.06765,0.09,8.25,0.36
1200S250-54,0.0566,12,2.5,0.625,0.0849,0.09,8.25,0.368
1200S250-68,0.0713,12,2.5,0.625,0.10695,0.09,8.25,0.315
1200S250-97,0.1017,12,2.5,0.625,0.15255,0.11,8.25,0.315
1200S250-118,0.1242,12,2.5,0.625,0.1863,0.11,8.25,0.434
1200S300-33,0.0346,12,3,0.625,0.0519,0.09,8.25,0.315
1200S300-43,0.0451,12,3,0.625,0.06765,0.09,8.25,0.36
1200S300-54,0.0566,12,3,0.625,0.0849,0.09,8.25,0.368
1200S300-68,0.0713,12,3,0.625,0.10695,0.09,8.25,0.315
1200S300-97,0.1017,12,3,0.625,0.15255,0.11,8.25,0.315
1200S300-118,0.1242,12,3,0.625,0.1863,0.11,8.25,0.434
1200S350-33,0.0346,12,3.5,0.625,0.0519,0.09,8.25,0.315
1200S350-43,0.0451,12,3.5,0.625,0.06765,0.09,8.25,0.36
1200S300-54,0.0566,12,3.5,0.625,0.0849,0.09,8.25,0.368
1200S300-68,0.0713,12,3.5,0.625,0.10695,0.09,8.25,0.315
1200S300-97,0.1017,12,3.5,0.625,0.15255,0.11,8.25,0.315
1200S300-118,0.1242,12,3.5,0.625,0.1863,0.11,8.25,0.434
1400S200-33,0.0346,14,2,0.625,0.0519,0.09,9.75,0.315
1400S200-43,0.0451,14,2,0.625,0.06765,0.09,9.75,0.36
1400S200-54,0.0566,14,2,0.625,0.0849,0.09,9.75,0.368
1400S200-68,0.0713,14,2,0.625,0.10695,0.09,9.75,0.315
1400S200-97,0.1017,14,2,0.625,0.15255,0.11,9.75,0.315
1400S200-118,0.1242,14,2,0.625,0.1863,0.11,9.75,0.434
1400S250-33,0.0346,14,2.5,0.625,0.0519,0.09,9.75,0.315
1400S250-43,0.0451,14,2.5,0.625,0.06765,0.09,9.75,0.36
1400S250-54,0.0566,14,2.5,0.625,0.0849,0.09,9.75,0.368
1400S250-68,0.0713,14,2.5,0.625,0.10695,0.09,9.75,0.315
1400S250-97,0.1017,14,2.5,0.625,0.15255,0.11,9.75,0.315
1400S250-118,0.1242,14,2.5,0.625,0.1863,0.11,9.75,0.434
1400S300-33,0.0346,14,3,0.625,0.0519,0.09,9.75,0.315
1400S300-43,0.0451,14,3,0.625,0.06765,0.09,9.75,0.36
1400S300-54,0.0566,14,3,0.625,0.0849,0.09,9.75,0.368
1400S300-68,0.0713,14,3,0.625,0.10695,0.09,9.75,0.315
1400S300-97,0.1017,14,3,0.625,0.15255,0.11,9.75,0.315
1400S300-118,0.1242,14,3,0.625,0.1863,0.11,9.75,0.434
1400S350-33,0.0346,14,3.5,0.625,0.0519,0.09,9.75,0.315
1400S350-43,0.0451,14,3.5,0.625,0.06765,0.09,9.75,0.36
1400S350-54,0.0566,14,3.5,0.625,0.0849,0.09,9.75,0.368
1400S350-68,0.0713,14,3.5,0.625,0.10695,0.09,9.75,0.315
1400S350-97,0.1017,14,3.5,0.625,0.15255,0.11,9.75,0.315
1400S350-118,0.1242,14,3.5,0.625,0.1863,0.11,9.75,0.434
